risk_id;cve_id;description;cvss_score;ports;protocols;ip_ranges;source;last_updated
R275;;Reported abusive IP;10.0;;;100.29.192.62;AbuseIPDB;03/03/2025
R276;;Reported abusive IP;10.0;;;1.34.32.23;AbuseIPDB;03/03/2025
R277;;Reported abusive IP;10.0;;;59.126.171.136;AbuseIPDB;03/03/2025
R278;;Reported abusive IP;10.0;;;46.119.1.216;AbuseIPDB;03/03/2025
R279;;Reported abusive IP;10.0;;;139.144.239.185;AbuseIPDB;03/03/2025
R280;;Reported abusive IP;10.0;;;43.128.67.187;AbuseIPDB;03/03/2025
R281;;Reported abusive IP;10.0;;;47.250.142.129;AbuseIPDB;03/03/2025
R282;;Reported abusive IP;10.0;;;65.49.20.91;AbuseIPDB;03/03/2025
R283;;Reported abusive IP;10.0;;;220.135.248.137;AbuseIPDB;03/03/2025
R284;;Reported abusive IP;10.0;;;95.47.148.115;AbuseIPDB;03/03/2025
R285;;Reported abusive IP;10.0;;;207.90.244.15;AbuseIPDB;03/03/2025
R286;;Reported abusive IP;10.0;;;211.145.38.60;AbuseIPDB;03/03/2025
R287;;Reported abusive IP;10.0;;;64.62.156.36;AbuseIPDB;03/03/2025
R288;;Reported abusive IP;10.0;;;103.252.72.179;AbuseIPDB;03/03/2025
R289;;Reported abusive IP;10.0;;;59.120.237.59;AbuseIPDB;03/03/2025
R290;;Reported abusive IP;10.0;;;65.49.1.66;AbuseIPDB;03/03/2025
R291;;Reported abusive IP;10.0;;;199.45.155.73;AbuseIPDB;03/03/2025
R292;;Reported abusive IP;10.0;;;92.222.141.85;AbuseIPDB;03/03/2025
R293;;Reported abusive IP;10.0;;;47.237.109.222;AbuseIPDB;03/03/2025
R294;;Reported abusive IP;10.0;;;47.236.242.199;AbuseIPDB;03/03/2025
R295;;Reported abusive IP;10.0;;;196.251.80.48;AbuseIPDB;03/03/2025
R296;;Reported abusive IP;10.0;;;185.226.197.34;AbuseIPDB;03/03/2025
R297;;Reported abusive IP;10.0;;;193.163.125.63;AbuseIPDB;03/03/2025
R298;;Reported abusive IP;10.0;;;193.163.125.66;AbuseIPDB;03/03/2025
R299;;Reported abusive IP;10.0;;;193.3.53.10;AbuseIPDB;03/03/2025
R300;;Reported abusive IP;10.0;;;47.254.204.223;AbuseIPDB;03/03/2025
R301;;Reported abusive IP;10.0;;;185.242.226.41;AbuseIPDB;03/03/2025
R302;;Reported abusive IP;10.0;;;20.84.146.164;AbuseIPDB;03/03/2025
R303;;Reported abusive IP;10.0;;;193.163.125.181;AbuseIPDB;03/03/2025
R304;;Reported abusive IP;10.0;;;185.224.0.235;AbuseIPDB;03/03/2025
R305;;Reported abusive IP;10.0;;;125.229.139.57;AbuseIPDB;03/03/2025
R306;;Reported abusive IP;10.0;;;193.163.125.138;AbuseIPDB;03/03/2025
R307;;Reported abusive IP;10.0;;;65.49.1.179;AbuseIPDB;03/03/2025
R308;;Reported abusive IP;10.0;;;122.117.36.249;AbuseIPDB;03/03/2025
R309;;Reported abusive IP;10.0;;;211.105.137.210;AbuseIPDB;03/03/2025
R310;;Reported abusive IP;10.0;;;51.81.181.175;AbuseIPDB;03/03/2025
R311;;Reported abusive IP;10.0;;;100.29.192.45;AbuseIPDB;03/03/2025
R312;;Reported abusive IP;10.0;;;85.105.50.6;AbuseIPDB;03/03/2025
R313;;Reported abusive IP;10.0;;;60.246.226.83;AbuseIPDB;03/03/2025
R314;;Reported abusive IP;10.0;;;45.79.109.236;AbuseIPDB;03/03/2025
R315;;Reported abusive IP;10.0;;;193.163.125.39;AbuseIPDB;03/03/2025
R316;;Reported abusive IP;10.0;;;52.117.95.102;AbuseIPDB;03/03/2025
